Dane|Nombre|DaneDep|Departamento|Total|SinServicio|SinServicioMicrorredes|SinServicioSolFotovoltaicasIndiv|SinServicioInterconexionSin|ConServicio
05001|Medellín|05|Antioquia|1022817,0|0,0||||1022817,0
05002|Abejorral|05|Antioquia|10295,0|1448,0||||8847,0
05004|Abriaquí|05|Antioquia|1349,0|262,0||||1087,0
05021|Alejandría|05|Antioquia|2810,0|477,0||||2333,0
05030|Amagá|05|Antioquia|13680,0|1044,0||||12636,0
05031|Amalfi|05|Antioquia|11650,0|2452,0||||9198,0
05034|Andes|05|Antioquia|17243,0|453,0||||16790,0
05036|Angelópolis|05|Antioquia|2733,0|196,0||||2537,0
05038|Angostura|05|Antioquia|4809,0|108,0||||4701,0
05040|Anorí|05|Antioquia|7799,0|1375,0||||6424,0
05042|Santa Fé de Antioquia|05|Antioquia|14556,0|0,0||||14556,0
05044|Anzá|05|Antioquia|3354,0|76,0||||3278,0
05045|Apartadó|05|Antioquia|44028,0|0,0||||44028,0
05051|Arboletes|05|Antioquia|10199,0|0,0||||10199,0
05055|Argelia|05|Antioquia|4035,0|647,0||||3388,0
05059|Armenia|05|Antioquia|2809,0|738,0||||2071,0
05079|Barbosa|05|Antioquia|24558,0|2359,0||||22199,0
05086|Belmira|05|Antioquia|2714,0|0,0||||2714,0
05088|Bello|05|Antioquia|211580,0|0,0||||211580,0
05091|Betania|05|Antioquia|4285,0|389,0||||3896,0
05093|Betulia|05|Antioquia|7234,0|0,0||||7234,0
05101|Ciudad Bolívar|05|Antioquia|10731,0|0,0||||10731,0
05107|Briceño|05|Antioquia|3600,0|380,0||||3220,0
05113|Buriticá|05|Antioquia|3588,0|168,0||||3420,0
05120|Cáceres|05|Antioquia|10858,0|1220,0||||9638,0
05125|Caicedo|05|Antioquia|3705,0|0,0||||3705,0
05129|Caldas|05|Antioquia|30514,0|0,0||||30514,0
05134|Campamento|05|Antioquia|3437,0|193,0||||3244,0
05138|Cañasgordas|05|Antioquia|6518,0|0,0||||6518,0
05142|Caracolí|05|Antioquia|2619,0|433,0||||2186,0
05145|Caramanta|05|Antioquia|2494,0|177,0||||2317,0
05147|Carepa|05|Antioquia|19201,0|0,0||||19201,0
