Departamento,Año,ICEE_Porcentaje,Viviendas_sin_servicio_estimadas
Amazonas,2019,62.75,7100
Amazonas,2020,61.98,7481
Amazonas,2021,62.12,7694
Amazonas,2022,61.77,8029
Antioquia,2019,100.00,0
Antioquia,2020,100.00,0
Antioquia,2021,100.00,0
Antioquia,2022,100.00,0
Arauca,2019,89.13,9928
Arauca,2020,92.96,6831
Arauca,2021,94.28,5768
Arauca,2022,95.73,4432
Archipiélago de San Andrés,2019,100.00,0
Archipiélago de San Andrés,2020,100.00,0
Archipiélago de San Andrés,2021,100.00,0
Archipiélago de San Andrés,2022,100.00,0
Atlántico,2019,92.21,54430
Atlántico,2020,89.00,80286
Atlántico,2021,94.85,38800
Atlántico,2022,98.78,9434
Bogotá D.C.,2019,98.08,47647
Bogotá D.C.,2020,96.17,98609
Bogotá D.C.,2021,95.13,129204
Bogotá D.C.,2022,94.05,161980
Bolívar,2019,83.44,105215
Bolívar,2020,80.86,126351
Bolívar,2021,81.57,125515
Bolívar,2022,82.38,123309
Boyacá,2019,91.69,45352
Boyacá,2020,91.88,45098
Boyacá,2021,93.39,37323
Boyacá,2022,94.54,31288
Caldas,2019,89.25,41678
Caldas,2020,87.91,47965
Caldas,2021,88.07,48366
Caldas,2022,88.04,49517
Caquetá,2019,81.22,27622
Caquetá,2020,85.03,22671
Caquetá,2021,80.80,29929
Caquetá,2022,78.80,34018
Casanare,2019,90.42,14880
Casanare,2020,89.67,16550
Casanare,2021,91.09,14623
Casanare,2022,91.82,13732
Cauca,2019,86.69,66936
Cauca,2020,87.06,66803
Cauca,2021,86.88,69511
Cauca,2022,87.33,68854
Cesar,2019,79.22,77675
Cesar,2020,76.08,93906
Cesar,2021,76.31,96578
Cesar,2022,75.65,102459
Chocó,2019,97.51,4504
Chocó,2020,100.00,0
Chocó,2021,95.73,8143
Chocó,2022,99.51,959
Córdoba,2019,82.00,94644
Córdoba,2020,80.75,103985
Córdoba,2021,82.45,97190
Córdoba,2022,81.73,103644
Cundinamarca,2019,91.71,98000
Cundinamarca,2020,90.16,123534
Cundinamarca,2021,89.49,138917
Cundinamarca,2022,88.87,153809
Guainía,2019,79.31,2500
Guainía,2020,70.00,3725
Guainía,2021,70.76,3721
Guainía,2022,73.04,3521
Guaviare,2019,81.70,5277
Guaviare,2020,81.45,5545
Guaviare,2021,83.07,5239
Guaviare,2022,80.86,6139
Huila,2019,100.00,0
Huila,2020,100.00,0
Huila,2021,100.00,0
Huila,2022,100.00,0
La Guajira,2019,53.58,117984
La Guajira,2020,51.50,131641
La Guajira,2021,53.88,130775
La Guajira,2022,55.74,130229
Magdalena,2019,67.58,134568
Magdalena,2020,66.22,146038
Magdalena,2021,69.93,134062
Magdalena,2022,71.57,130051
Meta,2019,90.14,38547
Meta,2020,90.60,37717
Meta,2021,91.98,32951
Meta,2022,92.78,30358
Nariño,2019,98.98,5537
Nariño,2020,100.00,0
Nariño,2021,99.88,677
Nariño,2022,98.09,11033
Norte de Santander,2019,98.23,8804
Norte de Santander,2020,96.56,17835
Norte de Santander,2021,96.82,16990
Norte de Santander,2022,98.07,10518
Putumayo,2019,68.58,39458
Putumayo,2020,69.05,40064
Putumayo,2021,69.55,40604
Putumayo,2022,73.21,36826
Quindío,2019,98.56,2901
Quindío,2020,98.49,3124
Quindío,2021,98.44,3309
Quindío,2022,98.16,4002
Risaralda,2019,97.16,10128
Risaralda,2020,97.54,8991
Risaralda,2021,98.04,7330
Risaralda,2022,98.52,5653
Santander,2019,100.00,0
Santander,2020,100.00,0
Santander,2021,100.00,0
Santander,2022,100.00,0
Sucre,2019,86.34,38123
Sucre,2020,83.84,46716
Sucre,2021,84.75,45387
Sucre,2022,83.17,51408
Tolima,2019,96.96,16190
Tolima,2020,98.29,9268
Tolima,2021,100.00,0
Tolima,2022,100.00,0
Valle del Cauca,2019,94.44,84597
Valle del Cauca,2020,95.94,62981
Valle del Cauca,2021,94.17,92356
Valle del Cauca,2022,95.01,80828
Vaupés,2019,38.60,5109
Vaupés,2020,67.79,2823
Vaupés,2021,36.77,5815
Vaupés,2022,32.54,6515
Vichada,2019,41.99,16868
Vichada,2020,33.95,20049
Vichada,2021,39.08,19137
Vichada,2022,43.03,18462
