"I_Id","Código_DANE","Año","Indicador","Fuente_Entidad","Fuente_Recurso","Entidad_Territorial","Departamento","Es_Municipio","ODS","Tipo_Acumulación","Unidad_Medida","DNP","Seguimiento.Nombre"
"7.01","66,682","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Santa Rosa De Cabal","Risaralda","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","66,170","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Dosquebradas","Risaralda","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","63,001","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Armenia","Quindío","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","17,877","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Viterbo","Caldas","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","17,777","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Supía","Caldas","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","17,614","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Riosucio","Caldas","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","17,495","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Norcasia","Caldas","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","17,442","2,023","100","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Marmato","Caldas","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,873","2,020","81.54","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Villarrica","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,870","2,020","63.76","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Villahermosa","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,861","2,020","88.33","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Venadillo","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,854","2,020","59.9","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Valle De San Juan","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,770","2,020","87.26","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Suárez","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,686","2,020","99.63","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Santa Isabel","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,678","2,020","93.5","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","San Luis","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,675","2,020","95.54","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","San Antonio","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,622","2,020","76.98","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Roncesvalles","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,616","2,020","79.28","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Rioblanco","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,585","2,020","98.01","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Purificación","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,563","2,020","88.49","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Prado","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,547","2,020","81.62","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Piedras","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,504","2,020","71.78","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Ortega","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,483","2,020","80.66","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Natagaima","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,461","2,020","66.57","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Murillo","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,449","2,020","97.61","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Melgar","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,411","2,020","97.64","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Líbano","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,352","2,020","92.34","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Icononzo","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,347","2,020","97.72","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Herveo","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,319","2,020","91.57","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Guamo","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,275","2,020","98.48","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Flandes","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,270","2,020","96.85","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Falan","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,236","2,020","84.38","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Dolores","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
"7.01","73,226","2,020","85.82","Unidad de Planificación Minero Energética - UPME","Indice de Cobertura de Energía Eléctrica - ICEE","Cunday","Tolima","Si","7","Capacidad","Porcentaje","Si","Cobertura de energía eléctrica"
